"cited","citing"
"10.1073/pnas.71.10.4135","10.1016/j.physrep.2020.01.002"
"10.1073/pnas.71.10.4135","10.1016/j.physrep.2013.03.005"
"10.1073/pnas.71.10.4135","10.7124/bc.000873"
"10.1073/pnas.71.10.4135","10.7124/bc.00082d"
"10.1073/pnas.71.10.4135","10.1039/d2cs00114d"
"10.1073/pnas.71.10.4135","10.1073/pnas.1307288110"
"10.1073/pnas.71.10.4135","10.1073/pnas.1301585110"
"10.1073/pnas.71.10.4135","10.1073/pnas.0705988104"
"10.1073/pnas.71.10.4135","10.1038/269655a0"
"10.1073/pnas.71.10.4135","10.1016/j.physa.2022.127735"
"10.1073/pnas.71.10.4135","10.1002/qua.560480710"
"10.1073/pnas.71.10.4135","10.1038/nri2688"
"10.1073/pnas.71.10.4135","10.1038/nri2469"
"10.1073/pnas.71.10.4135","10.1126/science.1904626"
"10.1073/pnas.71.10.4135","10.1021/bi00588a039"
"10.1073/pnas.71.10.4135","10.1021/acs.jpcb.9b08380"
"10.1073/pnas.71.10.4135","10.1021/acs.jpcb.9b05722"
"10.1073/pnas.71.10.4135","10.1128/mr.42.3.529-576.1978"
"10.1073/pnas.71.10.4135","10.1128/mr.56.4.592-621.1992"
"10.1073/pnas.71.10.4135","10.1128/mr.60.1.103-134.1996"
"10.1073/pnas.71.10.4135","10.1128/mr.56.3.412-429.1992"
"10.1073/pnas.71.10.4135","10.1042/bst0360567"
"10.1073/pnas.71.10.4135","10.1098/rsfs.2022.0013"
"10.1073/pnas.71.10.4135","10.1038/nsmb.1880"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(19)51068-7"
"10.1073/pnas.71.10.4135","10.1074/jbc.m110.105320"
"10.1073/pnas.71.10.4135","10.1074/jbc.m110.133553"
"10.1073/pnas.71.10.4135","10.1016/j.pharmthera.2022.108175"
"10.1073/pnas.71.10.4135","10.1007/bf00331638"
"10.1073/pnas.71.10.4135","10.1016/j.copbio.2018.01.029"
"10.1073/pnas.71.10.4135","10.2119/molmed.2009.00026"
"10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1979.tb12915.x"
"10.1073/pnas.71.10.4135","10.1142/s0218339018500158"
"10.1073/pnas.71.10.4135","10.1016/0014-5793(80)80211-0"
"10.1073/pnas.71.10.4135","10.1016/0014-5793(83)80519-5"
"10.1073/pnas.71.10.4135","10.3390/ijms22020952"
"10.1073/pnas.71.10.4135","10.1021/nl502890g"
"10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1003300"
"10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1003016"
"10.1073/pnas.71.10.4135","10.1103/physrevlett.115.038102"
"10.1073/pnas.71.10.4135","10.1016/j.semcdb.2011.03.009"
"10.1073/pnas.71.10.4135","10.1016/j.semcdb.2010.03.006"
"10.1073/pnas.71.10.4135","10.1002/bbpc.19770811216"
"10.1073/pnas.71.10.4135","10.1016/j.bpj.2014.09.038"
"10.1073/pnas.71.10.4135","10.1016/j.bpj.2013.04.042"
"10.1073/pnas.71.10.4135","10.1093/nar/gkac687"
"10.1073/pnas.71.10.4135","10.1103/physrevlett.131.068401"
"10.1073/pnas.71.10.4135","10.1039/d3cp04410f"
"10.1073/pnas.71.10.4135","10.1126/science.1206629"
"10.1073/pnas.71.10.4135","10.1126/science.3510456"
"10.1073/pnas.71.10.4135","10.1021/acs.biochem.9b00237"
"10.1073/pnas.71.10.4135","10.1021/bi00302a020"
"10.1073/pnas.71.10.4135","10.1103/physreve.99.060401"
"10.1073/pnas.71.10.4135","10.1103/physreve.99.052101"
"10.1073/pnas.71.10.4135","10.1103/physreve.99.022423"
"10.1073/pnas.71.10.4135","10.1021/jp026753k"
"10.1073/pnas.71.10.4135","10.1021/acschembio.9b00973"
"10.1073/pnas.71.10.4135","10.1016/j.bpj.2017.11.1170"
"10.1073/pnas.71.10.4135","10.1016/s0161-5890(02)00065-2"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)30277-6"
"10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)34673-2"
